dataset_id,relative_path,format,record_count,field_count,fields,observed_types,bytes,sha256,data_nature,role,license_boundary,integrity_notes
A1,A_data_value/slimpajama_quality_signal_sample.jsonl.xz,jsonl.xz,51230,27,_source_domain|_source_path|ad_en|content|dsir_books|dsir_math|dsir_wiki|fineweb_edu|fluency_en|id|modernbert_cleanliness|modernbert_professionalism|modernbert_readability|modernbert_reasoning|qurater|rps_doc_frac_chars_top_2gram|rps_doc_frac_chars_top_3gram|rps_doc_frac_no_alph_words|rps_doc_frac_unique_words|rps_doc_mean_word_length|rps_doc_num_sentences|rps_doc_unigram_entropy|rps_doc_word_count|rps_lines_ending_with_terminal_punctution_mark|rps_lines_numerical_chars_fraction|rps_lines_uppercase_letter_fraction|sub_path,"{""_source_domain"": [""string""], ""_source_path"": [""string""], ""ad_en"": [""array""], ""content"": [""string""], ""dsir_books"": [""number""], ""dsir_math"": [""number""], ""dsir_wiki"": [""number""], ""fineweb_edu"": [""array""], ""fluency_en"": [""array""], ""id"": [""string""], ""modernbert_cleanliness"": [""array""], ""modernbert_professionalism"": [""array""], ""modernbert_readability"": [""array""], ""modernbert_reasoning"": [""array""], ""qurater"": [""array""], ""rps_doc_frac_chars_top_2gram"": [""integer"", ""number""], ""rps_doc_frac_chars_top_3gram"": [""integer"", ""number""], ""rps_doc_frac_no_alph_words"": [""number""], ""rps_doc_frac_unique_words"": [""number""], ""rps_doc_mean_word_length"": [""number""], ""rps_doc_num_sentences"": [""integer""], ""rps_doc_unigram_entropy"": [""number""], ""rps_doc_word_count"": [""number""], ""rps_lines_ending_with_terminal_punctution_mark"": [""number""], ""rps_lines_numerical_chars_fraction"": [""number""], ""rps_lines_uppercase_letter_fraction"": [""number""], ""sub_path"": [""string""]}",103349792,14a4eeec4c7d98efd78942ddd9c1329640527f2108e73227be449bc1a8dbe579,真实质量信号,"{""fit"": ""允许作为质量预处理与评分拟合候选集；拟合参数只能由 A1 的拟合分区估计。"", ""internal_validation"": ""A1 内部留出分区；分割规则、随机种子和分层/分组口径须在正式运行配置中冻结。"", ""external_validation"": ""不承担外部验证。""}",本地 source_manifest.json 未登记上游许可条款。仅保留在受控本地数据目录；不得把原始字节复制进 Git 或公开再分发；任何外部共享前须单独核验上游条款。,所有 51230 条非空记录均为 27 字段，重复键记录数为 0。；检测到 JSON 非有限数值 token NaN 共 108 次；保留原值语义，后续预处理必须显式规定处理方式，不得静默删除或替换。
A2,A_data_value/slimpajama_quality_extended/arxiv_part-6777d8857c6e-000486.jsonl.xz,jsonl.xz,17523,24,ad_en|dsir_books|dsir_math|dsir_wiki|fineweb_edu|fluency_en|id|modernbert_cleanliness|modernbert_professionalism|modernbert_readability|modernbert_reasoning|qurater|rps_doc_frac_chars_top_2gram|rps_doc_frac_chars_top_3gram|rps_doc_frac_no_alph_words|rps_doc_frac_unique_words|rps_doc_mean_word_length|rps_doc_num_sentences|rps_doc_unigram_entropy|rps_doc_word_count|rps_lines_ending_with_terminal_punctution_mark|rps_lines_numerical_chars_fraction|rps_lines_uppercase_letter_fraction|sub_path,"{""ad_en"": [""array""], ""dsir_books"": [""number""], ""dsir_math"": [""number""], ""dsir_wiki"": [""number""], ""fineweb_edu"": [""array""], ""fluency_en"": [""array""], ""id"": [""string""], ""modernbert_cleanliness"": [""array""], ""modernbert_professionalism"": [""array""], ""modernbert_readability"": [""array""], ""modernbert_reasoning"": [""array""], ""qurater"": [""array""], ""rps_doc_frac_chars_top_2gram"": [""number""], ""rps_doc_frac_chars_top_3gram"": [""number""], ""rps_doc_frac_no_alph_words"": [""number""], ""rps_doc_frac_unique_words"": [""number""], ""rps_doc_mean_word_length"": [""number""], ""rps_doc_num_sentences"": [""integer""], ""rps_doc_unigram_entropy"": [""number""], ""rps_doc_word_count"": [""number""], ""rps_lines_ending_with_terminal_punctution_mark"": [""number""], ""rps_lines_numerical_chars_fraction"": [""number""], ""rps_lines_uppercase_letter_fraction"": [""number""], ""sub_path"": [""string""]}",3652724,ae1e3399f84f605d994fc60b46984d742e14abb3355d8e7a91822eae1b99e16a,真实质量信号,"{""fit"": ""禁止用于拟合、特征选择、方向确定、阈值选择或调参。"", ""internal_validation"": ""不承担 A1 内部验证。"", ""external_validation"": ""作为 arxiv 域文件级外部验证集；属于同一上游数据族的域迁移验证，不等同于独立来源真值。""}",本地 source_manifest.json 未登记上游许可条款。仅保留在受控本地数据目录；不得把原始字节复制进 Git 或公开再分发；任何外部共享前须单独核验上游条款。,所有 17523 条非空记录均为 24 字段；重复键记录数为 0；未检测到 NaN。
A3,A_data_value/slimpajama_quality_extended/github_part-6777d8857c6e-000275.jsonl.xz,jsonl.xz,203752,24,ad_en|dsir_books|dsir_math|dsir_wiki|fineweb_edu|fluency_en|id|modernbert_cleanliness|modernbert_professionalism|modernbert_readability|modernbert_reasoning|qurater|rps_doc_frac_chars_top_2gram|rps_doc_frac_chars_top_3gram|rps_doc_frac_no_alph_words|rps_doc_frac_unique_words|rps_doc_mean_word_length|rps_doc_num_sentences|rps_doc_unigram_entropy|rps_doc_word_count|rps_lines_ending_with_terminal_punctution_mark|rps_lines_numerical_chars_fraction|rps_lines_uppercase_letter_fraction|sub_path,"{""ad_en"": [""array""], ""dsir_books"": [""number""], ""dsir_math"": [""number""], ""dsir_wiki"": [""number""], ""fineweb_edu"": [""array""], ""fluency_en"": [""array""], ""id"": [""string""], ""modernbert_cleanliness"": [""array""], ""modernbert_professionalism"": [""array""], ""modernbert_readability"": [""array""], ""modernbert_reasoning"": [""array""], ""qurater"": [""array""], ""rps_doc_frac_chars_top_2gram"": [""integer""], ""rps_doc_frac_chars_top_3gram"": [""integer""], ""rps_doc_frac_no_alph_words"": [""number""], ""rps_doc_frac_unique_words"": [""number""], ""rps_doc_mean_word_length"": [""number""], ""rps_doc_num_sentences"": [""integer""], ""rps_doc_unigram_entropy"": [""number""], ""rps_doc_word_count"": [""number""], ""rps_lines_ending_with_terminal_punctution_mark"": [""number""], ""rps_lines_numerical_chars_fraction"": [""number""], ""rps_lines_uppercase_letter_fraction"": [""number""], ""sub_path"": [""string""]}",37618172,7af069c71c6027a10f2013cc14dd9d5d17855c264734f69c955544ff6cff7382,真实质量信号,"{""fit"": ""禁止用于拟合、特征选择、方向确定、阈值选择或调参。"", ""internal_validation"": ""不承担 A1 内部验证。"", ""external_validation"": ""作为 github 域文件级外部验证集；属于同一上游数据族的域迁移验证，不等同于独立来源真值。""}",本地 source_manifest.json 未登记上游许可条款。仅保留在受控本地数据目录；不得把原始字节复制进 Git 或公开再分发；任何外部共享前须单独核验上游条款。,所有 203752 条非空记录均为 24 字段；重复键记录数为 0。；检测到 JSON 非有限数值 token NaN 共 6 次；后续预处理必须显式规定处理方式，不得静默删除或替换。
A4,A_data_value/regmix_tables/train_mixture_1m.csv,csv,512,18,index|train_the_pile_arxiv|train_the_pile_freelaw|train_the_pile_nih_exporter|train_the_pile_pubmed_central|train_the_pile_wikipedia_en|train_the_pile_dm_mathematics|train_the_pile_github|train_the_pile_philpapers|train_the_pile_stackexchange|train_the_pile_enron_emails|train_the_pile_gutenberg_pg_19|train_the_pile_pile_cc|train_the_pile_ubuntu_irc|train_the_pile_europarl|train_the_pile_hackernews|train_the_pile_pubmed_abstracts|train_the_pile_uspto_backgrounds,"{""index"": [""integer""], ""train_the_pile_arxiv"": [""number""], ""train_the_pile_dm_mathematics"": [""number""], ""train_the_pile_enron_emails"": [""number""], ""train_the_pile_europarl"": [""number""], ""train_the_pile_freelaw"": [""number""], ""train_the_pile_github"": [""number""], ""train_the_pile_gutenberg_pg_19"": [""number""], ""train_the_pile_hackernews"": [""number""], ""train_the_pile_nih_exporter"": [""number""], ""train_the_pile_philpapers"": [""number""], ""train_the_pile_pile_cc"": [""number""], ""train_the_pile_pubmed_abstracts"": [""number""], ""train_the_pile_pubmed_central"": [""number""], ""train_the_pile_stackexchange"": [""number""], ""train_the_pile_ubuntu_irc"": [""number""], ""train_the_pile_uspto_backgrounds"": [""number""], ""train_the_pile_wikipedia_en"": [""number""]}",46412,04a32ef4ab594376bf90e11404c033668f887c351d6a03ad3744824c7296a2d8,真实训练配比,train fit,本地 source_manifest.json 未登记上游许可条款。仅保留在受控本地数据目录；不得把原始字节复制进 Git 或公开再分发；任何外部共享前须单独核验 RegMix 上游条款。,CSV 无表头重复、无行宽错误、无空单元格；index 唯一。
A5,A_data_value/regmix_tables/train_pile_loss_1m.csv,csv,512,14,index|metric/the_pile_arxiv_val_loss|metric/the_pile_freelaw_val_loss|metric/the_pile_pubmed_central_val_loss|metric/the_pile_wikipedia_en_val_loss|metric/the_pile_dm_mathematics_val_loss|metric/the_pile_github_val_loss|metric/the_pile_stackexchange_val_loss|metric/the_pile_gutenberg_pg_19_val_loss|metric/the_pile_pile_cc_val_loss|metric/the_pile_ubuntu_irc_val_loss|metric/the_pile_hackernews_val_loss|metric/the_pile_pubmed_abstracts_val_loss|metric/the_pile_uspto_backgrounds_val_loss,"{""index"": [""integer""], ""metric/the_pile_arxiv_val_loss"": [""number""], ""metric/the_pile_dm_mathematics_val_loss"": [""number""], ""metric/the_pile_freelaw_val_loss"": [""number""], ""metric/the_pile_github_val_loss"": [""number""], ""metric/the_pile_gutenberg_pg_19_val_loss"": [""number""], ""metric/the_pile_hackernews_val_loss"": [""number""], ""metric/the_pile_pile_cc_val_loss"": [""number""], ""metric/the_pile_pubmed_abstracts_val_loss"": [""number""], ""metric/the_pile_pubmed_central_val_loss"": [""number""], ""metric/the_pile_stackexchange_val_loss"": [""number""], ""metric/the_pile_ubuntu_irc_val_loss"": [""number""], ""metric/the_pile_uspto_backgrounds_val_loss"": [""number""], ""metric/the_pile_wikipedia_en_val_loss"": [""number""]}",121898,49a959aa07ce5c20831d5abe3a7896ff0cd90a398bd407c8913fd5588be0465a,真实训练 Loss,train fit target,本地 source_manifest.json 未登记上游许可条款。仅保留在受控本地数据目录；不得把原始字节复制进 Git 或公开再分发；任何外部共享前须单独核验 RegMix 上游条款。,CSV 无表头重复、无行宽错误、无空单元格；index 唯一。
A6,A_data_value/regmix_tables/test_mixture_1m.csv,csv,256,18,index|train_the_pile_arxiv|train_the_pile_freelaw|train_the_pile_nih_exporter|train_the_pile_pubmed_central|train_the_pile_wikipedia_en|train_the_pile_dm_mathematics|train_the_pile_github|train_the_pile_philpapers|train_the_pile_stackexchange|train_the_pile_enron_emails|train_the_pile_gutenberg_pg_19|train_the_pile_pile_cc|train_the_pile_ubuntu_irc|train_the_pile_europarl|train_the_pile_hackernews|train_the_pile_pubmed_abstracts|train_the_pile_uspto_backgrounds,"{""index"": [""integer""], ""train_the_pile_arxiv"": [""number""], ""train_the_pile_dm_mathematics"": [""number""], ""train_the_pile_enron_emails"": [""number""], ""train_the_pile_europarl"": [""number""], ""train_the_pile_freelaw"": [""number""], ""train_the_pile_github"": [""number""], ""train_the_pile_gutenberg_pg_19"": [""number""], ""train_the_pile_hackernews"": [""number""], ""train_the_pile_nih_exporter"": [""number""], ""train_the_pile_philpapers"": [""number""], ""train_the_pile_pile_cc"": [""number""], ""train_the_pile_pubmed_abstracts"": [""number""], ""train_the_pile_pubmed_central"": [""number""], ""train_the_pile_stackexchange"": [""number""], ""train_the_pile_ubuntu_irc"": [""number""], ""train_the_pile_uspto_backgrounds"": [""number""], ""train_the_pile_wikipedia_en"": [""number""]}",23537,197267b7d6f15367e2f46c881e564c35b0d34e51b1754bb09d07e650cf8e1ce8,真实检验配比,external validation input,本地 source_manifest.json 未登记上游许可条款。仅保留在受控本地数据目录；不得把原始字节复制进 Git 或公开再分发；任何外部共享前须单独核验 RegMix 上游条款。,CSV 无表头重复、无行宽错误、无空单元格；index 唯一。
A7,A_data_value/regmix_tables/test_pile_loss_1m.csv,csv,256,14,index|metric/the_pile_arxiv_val_loss|metric/the_pile_freelaw_val_loss|metric/the_pile_pubmed_central_val_loss|metric/the_pile_wikipedia_en_val_loss|metric/the_pile_dm_mathematics_val_loss|metric/the_pile_github_val_loss|metric/the_pile_stackexchange_val_loss|metric/the_pile_gutenberg_pg_19_val_loss|metric/the_pile_pile_cc_val_loss|metric/the_pile_ubuntu_irc_val_loss|metric/the_pile_hackernews_val_loss|metric/the_pile_pubmed_abstracts_val_loss|metric/the_pile_uspto_backgrounds_val_loss,"{""index"": [""integer""], ""metric/the_pile_arxiv_val_loss"": [""number""], ""metric/the_pile_dm_mathematics_val_loss"": [""number""], ""metric/the_pile_freelaw_val_loss"": [""number""], ""metric/the_pile_github_val_loss"": [""number""], ""metric/the_pile_gutenberg_pg_19_val_loss"": [""number""], ""metric/the_pile_hackernews_val_loss"": [""number""], ""metric/the_pile_pile_cc_val_loss"": [""number""], ""metric/the_pile_pubmed_abstracts_val_loss"": [""number""], ""metric/the_pile_pubmed_central_val_loss"": [""number""], ""metric/the_pile_stackexchange_val_loss"": [""number""], ""metric/the_pile_ubuntu_irc_val_loss"": [""number""], ""metric/the_pile_uspto_backgrounds_val_loss"": [""number""], ""metric/the_pile_wikipedia_en_val_loss"": [""number""]}",61175,e027b1674f60140a65a87b5e4a59ab5f09dc33e8fd02c080682678074b160f53,真实检验 Loss,external validation target,本地 source_manifest.json 未登记上游许可条款。仅保留在受控本地数据目录；不得把原始字节复制进 Git 或公开再分发；任何外部共享前须单独核验 RegMix 上游条款。,CSV 无表头重复、无行宽错误、无空单元格；index 唯一。
A8,A_data_value/regmix_tables/test_mixture_60m.csv,csv,256,18,index|train_the_pile_arxiv|train_the_pile_freelaw|train_the_pile_nih_exporter|train_the_pile_pubmed_central|train_the_pile_wikipedia_en|train_the_pile_dm_mathematics|train_the_pile_github|train_the_pile_philpapers|train_the_pile_stackexchange|train_the_pile_enron_emails|train_the_pile_gutenberg_pg_19|train_the_pile_pile_cc|train_the_pile_ubuntu_irc|train_the_pile_europarl|train_the_pile_hackernews|train_the_pile_pubmed_abstracts|train_the_pile_uspto_backgrounds,"{""index"": [""integer""], ""train_the_pile_arxiv"": [""number""], ""train_the_pile_dm_mathematics"": [""number""], ""train_the_pile_enron_emails"": [""number""], ""train_the_pile_europarl"": [""number""], ""train_the_pile_freelaw"": [""number""], ""train_the_pile_github"": [""number""], ""train_the_pile_gutenberg_pg_19"": [""number""], ""train_the_pile_hackernews"": [""number""], ""train_the_pile_nih_exporter"": [""number""], ""train_the_pile_philpapers"": [""number""], ""train_the_pile_pile_cc"": [""number""], ""train_the_pile_pubmed_abstracts"": [""number""], ""train_the_pile_pubmed_central"": [""number""], ""train_the_pile_stackexchange"": [""number""], ""train_the_pile_ubuntu_irc"": [""number""], ""train_the_pile_uspto_backgrounds"": [""number""], ""train_the_pile_wikipedia_en"": [""number""]}",23537,197267b7d6f15367e2f46c881e564c35b0d34e51b1754bb09d07e650cf8e1ce8,真实检验配比,external validation input,本地 source_manifest.json 未登记上游许可条款。仅保留在受控本地数据目录；不得把原始字节复制进 Git 或公开再分发；任何外部共享前须单独核验 RegMix 上游条款。,CSV 无表头重复、无行宽错误、无空单元格；index 唯一。
A9,A_data_value/regmix_tables/test_pile_loss_60m.csv,csv,256,14,index|metric/the_pile_arxiv_val_loss|metric/the_pile_freelaw_val_loss|metric/the_pile_pubmed_central_val_loss|metric/the_pile_wikipedia_en_val_loss|metric/the_pile_dm_mathematics_val_loss|metric/the_pile_github_val_loss|metric/the_pile_stackexchange_val_loss|metric/the_pile_gutenberg_pg_19_val_loss|metric/the_pile_pile_cc_val_loss|metric/the_pile_ubuntu_irc_val_loss|metric/the_pile_hackernews_val_loss|metric/the_pile_pubmed_abstracts_val_loss|metric/the_pile_uspto_backgrounds_val_loss,"{""index"": [""integer""], ""metric/the_pile_arxiv_val_loss"": [""number""], ""metric/the_pile_dm_mathematics_val_loss"": [""number""], ""metric/the_pile_freelaw_val_loss"": [""number""], ""metric/the_pile_github_val_loss"": [""number""], ""metric/the_pile_gutenberg_pg_19_val_loss"": [""number""], ""metric/the_pile_hackernews_val_loss"": [""number""], ""metric/the_pile_pile_cc_val_loss"": [""number""], ""metric/the_pile_pubmed_abstracts_val_loss"": [""number""], ""metric/the_pile_pubmed_central_val_loss"": [""number""], ""metric/the_pile_stackexchange_val_loss"": [""number""], ""metric/the_pile_ubuntu_irc_val_loss"": [""number""], ""metric/the_pile_uspto_backgrounds_val_loss"": [""number""], ""metric/the_pile_wikipedia_en_val_loss"": [""number""]}",61827,8fe69d59ab7dd4fae4736459f4265ec93c7ed1ad1eca407346052560edc72b5b,真实检验 Loss,external validation target,本地 source_manifest.json 未登记上游许可条款。仅保留在受控本地数据目录；不得把原始字节复制进 Git 或公开再分发；任何外部共享前须单独核验 RegMix 上游条款。,CSV 无表头重复、无行宽错误、无空单元格；index 唯一。
A10,A_data_value/regmix_tables/test_mixture_1B.csv,csv,64,18,index|train_the_pile_arxiv|train_the_pile_freelaw|train_the_pile_nih_exporter|train_the_pile_pubmed_central|train_the_pile_wikipedia_en|train_the_pile_dm_mathematics|train_the_pile_github|train_the_pile_philpapers|train_the_pile_stackexchange|train_the_pile_enron_emails|train_the_pile_gutenberg_pg_19|train_the_pile_pile_cc|train_the_pile_ubuntu_irc|train_the_pile_europarl|train_the_pile_hackernews|train_the_pile_pubmed_abstracts|train_the_pile_uspto_backgrounds,"{""index"": [""integer""], ""train_the_pile_arxiv"": [""number""], ""train_the_pile_dm_mathematics"": [""number""], ""train_the_pile_enron_emails"": [""number""], ""train_the_pile_europarl"": [""number""], ""train_the_pile_freelaw"": [""number""], ""train_the_pile_github"": [""number""], ""train_the_pile_gutenberg_pg_19"": [""number""], ""train_the_pile_hackernews"": [""number""], ""train_the_pile_nih_exporter"": [""number""], ""train_the_pile_philpapers"": [""number""], ""train_the_pile_pile_cc"": [""number""], ""train_the_pile_pubmed_abstracts"": [""number""], ""train_the_pile_pubmed_central"": [""number""], ""train_the_pile_stackexchange"": [""number""], ""train_the_pile_ubuntu_irc"": [""number""], ""train_the_pile_uspto_backgrounds"": [""number""], ""train_the_pile_wikipedia_en"": [""number""]}",6393,dd38052949c0a5f84165bdcb3ae3a331c7f07efd9bb83848bd579dfc4ce75a2c,真实检验配比,external validation input,本地 source_manifest.json 未登记上游许可条款。仅保留在受控本地数据目录；不得把原始字节复制进 Git 或公开再分发；任何外部共享前须单独核验 RegMix 上游条款。,CSV 无表头重复、无行宽错误、无空单元格；index 唯一。
